0,1,2,3,4,5,6,7,8,9
-0.3070891,-0.44806838,0.3831742,0.26269156,-0.19217968,-0.06611602,-0.03350876,0.11802172,0.16829695,-0.13519016
-0.30906042,-0.4418612,0.3694718,0.23853229,-0.15587875,-0.02170664,-0.076896705,0.18437484,0.22652048,-0.17234527
-0.3085871,-0.44119138,0.36303547,0.2251483,-0.13600206,0.0029234514,-0.099055655,0.21455224,0.2496366,-0.18311179
-0.30802545,-0.44119442,0.3573883,0.21332674,-0.12008648,0.02139027,-0.112936236,0.2321105,0.26119193,-0.18681541
-0.30776206,-0.40070707,0.22239807,-0.017816706,0.20570168,0.32644278,-0.30774847,0.4049515,0.2247204,-0.051549636
-0.3079961,-0.39697737,0.21068765,-0.03558188,0.2267034,0.34164998,-0.31119233,0.39909497,0.20674345,-0.034959417
-0.30926976,-0.39145708,0.19876568,-0.052465104,0.24535608,0.35208032,-0.3089695,0.38414454,0.18427198,-0.019027706
-0.30753133,-0.38747483,0.17896852,-0.079725474,0.26943085,0.3564203,-0.28817418,0.33631793,0.1325743,0.010787368
-0.3064843,-0.37233245,0.12208913,-0.16038056,0.3417823,0.36310822,-0.21355301,0.17231649,-0.026025105,0.08086277
-0.30807656,-0.35512817,0.07370086,-0.22173418,0.39104688,0.35926655,-0.15377343,0.046532214,-0.14579506,0.138408
-0.30934578,-0.34780973,0.05520364,-0.24456131,0.4082168,0.3545198,-0.12792827,-0.0046784873,-0.1896883,0.1557608
-0.30974898,-0.34338135,0.042811513,-0.25842723,0.41587296,0.34642437,-0.108000875,-0.0383933,-0.21260302,0.16126889
-0.30975777,-0.34380698,0.04196754,-0.26117754,0.4198959,0.35000953,-0.10688307,-0.045117263,-0.22243936,0.16866726
-0.30764195,-0.45875174,0.44147834,0.38331595,-0.3838804,-0.31367862,0.22172666,-0.28122604,-0.20786363,0.122466125
-0.30772763,-0.45810974,0.44021678,0.38110974,-0.37995622,-0.3087789,0.21595383,-0.27240077,-0.19883959,0.1156385
-0.30738083,-0.45820308,0.43815613,0.37632298,-0.37204707,-0.2982553,0.20517197,-0.25544688,-0.18316585,0.10524311
-0.30823714,-0.45545,0.4336188,0.36912498,-0.36066088,-0.28460392,0.1901393,-0.23306312,-0.16113451,0.088567205
-0.30744094,-0.44422263,0.37181103,0.24202801,-0.16023621,-0.025917005,-0.073739775,0.18023017,0.22520842,-0.1743365
-0.30758992,-0.44257998,0.3651578,0.22914168,-0.14154038,-0.004041668,-0.09309254,0.20396513,0.24165438,-0.18021199
-0.30780157,-0.4406376,0.3566446,0.21272524,-0.11845752,0.022115346,-0.11415593,0.22989516,0.25691217,-0.18330863
-0.3081446,-0.43617618,0.34138277,0.18580583,-0.08191114,0.058213238,-0.1371262,0.25387847,0.25999674,-0.17414989
-0.3074116,-0.42344004,0.28855833,0.091480285,0.049089815,0.18748666,-0.22257914,0.33237088,0.2566445,-0.12335859
-0.3080628,-0.40393198,0.23592716,0.005653239,0.17459801,0.29706383,-0.2909783,0.39434165,0.23346749,-0.068271734
-0.30811876,-0.3987106,0.21740876,-0.024926892,0.21376595,0.3316031,-0.30805635,0.4008621,0.21603826,-0.044286534
-0.30828428,-0.3945598,0.20396808,-0.04561405,0.23849088,0.35013995,-0.31290066,0.3945849,0.1950919,-0.024127439
-0.30708072,-0.39397758,0.19642535,-0.058576077,0.25282046,0.35728613,-0.3073544,0.37797308,0.17597044,-0.0136741325
-0.3091658,-0.34743387,0.0546721,-0.24426457,0.40731782,0.3538218,-0.12778306,-0.0040836725,-0.19014817,0.15487903
-0.3087422,-0.34488988,0.04466502,-0.2550828,0.4117559,0.34488136,-0.110276386,-0.030678216,-0.20445912,0.15628114
-0.30954048,-0.3394733,0.030667039,-0.26928824,0.41635132,0.32967743,-0.08392826,-0.0698173,-0.2230037,0.15411192
-0.3091654,-0.3412494,0.032070592,-0.2700409,0.42038405,0.3374102,-0.08843347,-0.069049254,-0.23089348,0.16410264
-0.3074119,-0.45900393,0.44193998,0.3840844,-0.38414112,-0.31476152,0.22283277,-0.28098923,-0.20866059,0.122872226
-0.3080358,-0.45775318,0.4402185,0.38137317,-0.38044944,-0.30975798,0.2172963,-0.2733837,-0.20046319,0.117049895
-0.3083573,-0.45714885,0.43835023,0.37763372,-0.3754236,-0.3020626,0.20894459,-0.26181224,-0.18761806,0.10807211
-0.30822366,-0.45635438,0.4365867,0.37489662,-0.3708135,-0.29636043,0.20177805,-0.2534606,-0.1779063,0.099634476
-0.30796733,-0.44282246,0.3664156,0.23148142,-0.14565006,-0.007918224,-0.09048559,0.20374091,0.24592419,-0.18601927
